player,pos,age,bref_team_id,g,gs,mp,fg.,efg.,ft.,orb,drb,trb,ast,stl,blk,tov,pf,pts,po,conf
Steven Adams,C,20,OKC,81,20,1197,0.503,0.503,0.581,142,190,332,43,40,57,71,203,265,F,West
Arron Afflalo,SG,28,ORL,73,73,2552,0.45899999999999996,0.522,0.815,32,230,262,248,35,3,146,136,1330,NP,West
Alexis Ajinca,C,25,NOP,56,30,951,0.546,0.546,0.836,94,183,277,40,23,46,63,187,328,NP,East
Cole Aldrich,C,25,NYK,46,2,330,0.541,0.541,0.867,37,92,129,14,8,30,18,40,92,NP,East
LaMarcus Aldridge,PF,28,POR,69,69,2498,0.45799999999999996,0.45899999999999996,0.8220000000000001,166,599,765,178,63,68,123,147,1603,FT,West
Ray Allen,SG,38,MIA,73,9,1936,0.442,0.5489999999999999,0.905,23,182,205,143,54,8,84,115,701,F,East
Tony Allen,SG,32,MEM,55,28,1278,0.494,0.507,0.628,79,129,208,94,90,19,90,121,495,FT,West
Al-Farouq Aminu,SF,23,NOP,80,65,2045,0.474,0.48700000000000004,0.664,129,367,496,114,82,38,88,147,572,NP,East
Chris Andersen,C,35,MIA,72,0,1396,0.644,0.649,0.71,129,250,379,19,32,97,53,162,477,F,East
Alan Anderson,SF,31,BRK,78,26,1773,0.4,0.48700000000000004,0.78,40,135,175,81,48,11,62,147,564,FT,East
James Anderson,SG,24,PHI,80,62,2309,0.431,0.511,0.726,59,241,300,149,74,28,106,154,810,NP,East
Ryan Anderson,PF,25,NOP,22,14,795,0.43799999999999994,0.532,0.9520000000000001,66,76,142,17,10,7,20,47,436,NP,East
Giannis Antetokounmpo,SF,19,MIL,77,23,1897,0.414,0.46299999999999997,0.6829999999999999,78,261,339,150,60,61,122,173,525,NP,East
Carmelo Anthony,PF,29,NYK,77,77,2982,0.452,0.503,0.848,145,477,622,242,95,51,198,224,2112,NP,East
Pero Antic,PF,31,ATL,50,26,925,0.418,0.514,0.758,57,152,209,58,19,12,55,126,352,FT,East
Trevor Ariza,SF,28,WAS,77,77,2723,0.456,0.562,0.772,99,376,475,191,126,20,132,179,1107,FT,East
Hilton Armstrong,C,29,GSW,15,1,97,0.474,0.474,0.43799999999999994,19,28,47,5,4,4,6,11,25,FT,West
Darrell Arthur,SF,25,DEN,68,1,1161,0.395,0.424,0.855,52,158,210,61,39,47,58,185,401,NP,West
Omer Asik,C,27,HOU,48,19,968,0.532,0.532,0.619,101,277,378,25,14,37,59,92,280,FT,West
Gustavo Ayon,C,28,ATL,26,14,429,0.51,0.51,0.4,42,83,125,28,25,10,29,47,112,FT,East
Jeff Ayres,PF,26,SAS,73,10,952,0.58,0.58,0.691,89,169,258,60,13,25,63,146,240,F,West
Luke Babbitt,PF,24,NOP,27,2,473,0.39,0.506,0.778,18,70,88,29,7,11,15,52,170,NP,East
Leandro Barbosa,PG,31,PHO,20,0,368,0.4270000000000001,0.45399999999999996,0.795,5,32,37,32,7,4,19,30,150,NP,West
Jose Barea,PG,29,MIN,79,1,1471,0.387,0.44299999999999995,0.79,16,138,154,303,26,0,125,129,660,NP,West
Andrea Bargnani,C,28,NYK,42,39,1257,0.442,0.47200000000000003,0.8240000000000001,69,153,222,45,14,52,58,100,558,NP,East
Harrison Barnes,SF,21,GSW,78,24,2204,0.39899999999999997,0.44799999999999995,0.718,66,245,311,116,65,20,84,158,738,FT,West
Matt Barnes,SF,33,LAC,63,40,1735,0.43799999999999994,0.53,0.733,60,232,292,125,56,28,85,185,625,FT,West
Will Barton,SG,23,POR,41,0,387,0.41700000000000004,0.449,0.813,16,58,74,33,9,7,18,31,166,FT,West
Brandon Bass,PF,28,BOS,82,73,2266,0.486,0.48700000000000004,0.858,161,309,470,87,36,71,102,190,911,NP,East
Shane Battier,SF,35,MIA,73,56,1468,0.382,0.515,0.652,34,104,138,63,50,39,21,124,298,F,East
Nicolas Batum,SF,25,POR,82,82,2956,0.465,0.5539999999999999,0.8029999999999999,116,495,611,420,75,57,208,156,1070,FT,West
Aron Baynes,C,27,SAS,53,4,491,0.436,0.436,0.905,57,88,145,34,2,5,36,77,161,F,West
Bradley Beal,SG,20,WAS,73,73,2530,0.419,0.479,0.7879999999999999,54,219,273,243,71,18,128,153,1249,FT,East
Michael Beasley,SF,25,MIA,55,2,831,0.499,0.528,0.772,31,141,172,42,23,21,57,93,436,F,East
Marco Belinelli,SF,27,SAS,80,25,2016,0.485,0.5760000000000001,0.847,18,208,226,179,50,7,95,130,911,F,West
Anthony Bennett,SF,20,CLE,52,0,663,0.35600000000000004,0.384,0.638,49,106,155,17,21,8,47,93,217,NP,East
Patrick Beverley,SG,25,HOU,56,55,1751,0.414,0.509,0.8140000000000001,72,124,196,151,77,23,66,174,573,FT,West
Andris Biedrins,C,27,UTA,6,0,45,1.0,1.0,0.16699999999999998,2,15,17,0,0,0,2,6,3,NP,West
